"breaks" "density"
"1" 0 0.401376146788991
"2" 0 0.0321100917431193
"3" 0 0.018348623853211
"4" 0 0.00917431192660551
"5" 0 0.00688073394495413
"6" 0 0.00458715596330275
"7" 0 0.00229357798165138
"8" 0 0.00458715596330275
"9" 0 0.00229357798165138
"10" 0 0.00458715596330275
"11" 0 0
"12" 0 0.00458715596330275
"13" 0 0.00458715596330275
"14" 0 0.00229357798165138
"15" 0 0
"16" 0 0
"17" 0 0
"18" 0 0
"19" 0 0
"20" 0 0.00229357798165138
"21" 0 0.401376146788991
"22" 0 0.0321100917431193
"23" 0 0.018348623853211
"24" 0 0.00917431192660551
"25" 0 0.00688073394495413
"26" 0 0
